País;Nivel Educación;Ítem;Valor;Dimension_ISDE;Dimension_Nombre
BA;Bachillerato;Otras (p. ej., optativa);No;D3;Pedagogía Digital / Uso Pedagógico TIC
BA;Bachillerato;Integrada en otras materias obligatorias;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BA;Bachillerato;Transversal (cross-curricular);No;D3;Pedagogía Digital / Uso Pedagógico TIC
BA;Bachillerato;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BA;Bachillerato;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
BA;Bachillerato;Informática como asignatura separada y obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
BA;Bachillerato;Informática como asignatura separada, optativa;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BA;Bachillerato;Autonomía del centro/autoridad local;No;D4;Liderazgo y Política Institucional
BA;Bachillerato;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEde;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;No;D4;Liderazgo y Política Institucional
BEde;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
BEde;ESO;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;Si;D4;Liderazgo y Política Institucional
BEde;ESO;Designación de coordinador/a digital en los centros;No;D4;Liderazgo y Política Institucional
BEde;ESO;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
BEde;ESO;Plan digital integrado en el plan de centro;No;D4;Liderazgo y Política Institucional
BEde;ESO;Criterios de educación digital en marcos de evaluación externa;No;D4;Liderazgo y Política Institucional
BEde;ESO;Asignatura separada obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEde;ESO;Otras (p. ej., optativa);No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEde;ESO;Integrada en otras materias obligatorias;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEde;ESO;Transversal (cross-curricular);No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEde;ESO;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEde;ESO;Autonomía centro/local;Si;D4;Liderazgo y Política Institucional
BEde;ESO;Informática como asignatura separada y obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEde;ESO;Informática como asignatura separada, optativa;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEde;ESO;Autonomía del centro/autoridad local;Si;D4;Liderazgo y Política Institucional
BEde;ESO;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEde;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;No;D4;Liderazgo y Política Institucional
BEde;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
BEde;Bachillerato;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;Si;D4;Liderazgo y Política Institucional
BEde;Bachillerato;Designación de coordinador/a digital en los centros;No;D4;Liderazgo y Política Institucional
BEde;Bachillerato;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
BEde;Bachillerato;Plan digital integrado en el plan de centro;No;D4;Liderazgo y Política Institucional
BEde;Bachillerato;Criterios de educación digital en marcos de evaluación externa;No;D4;Liderazgo y Política Institucional
BEde;Bachillerato;Asignatura separada obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEde;Bachillerato;Otras (p. ej., optativa);No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEde;Bachillerato;Integrada en otras materias obligatorias;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEde;Bachillerato;Transversal (cross-curricular);No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEde;Bachillerato;No incluida en currículo;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
BEde;Bachillerato;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
BEde;Bachillerato;Informática como asignatura separada y obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEde;Bachillerato;Informática como asignatura separada, optativa;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEde;Bachillerato;Autonomía del centro/autoridad local;Si;D4;Liderazgo y Política Institucional
BEde;Bachillerato;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEfr;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;Si;D4;Liderazgo y Política Institucional
BEfr;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
BEfr;ESO;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;No;D4;Liderazgo y Política Institucional
BEfr;ESO;Designación de coordinador/a digital en los centros;No;D4;Liderazgo y Política Institucional
BEfr;ESO;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
BEfr;ESO;Plan digital integrado en el plan de centro;No;D4;Liderazgo y Política Institucional
BEfr;ESO;Criterios de educación digital en marcos de evaluación externa;No;D4;Liderazgo y Política Institucional
BEfr;ESO;Asignatura separada obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEfr;ESO;Otras (p. ej., optativa);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
BEfr;ESO;Integrada en otras materias obligatorias;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEfr;ESO;Transversal (cross-curricular);No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEfr;ESO;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEfr;ESO;Autonomía centro/local;Si;D4;Liderazgo y Política Institucional
BEfr;ESO;Informática como asignatura separada y obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEfr;ESO;Informática como asignatura separada, optativa;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEfr;ESO;Autonomía del centro/autoridad local;Si;D4;Liderazgo y Política Institucional
BEfr;ESO;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEfr;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;Si;D4;Liderazgo y Política Institucional
BEfr;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
BEfr;Bachillerato;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;No;D4;Liderazgo y Política Institucional
BEfr;Bachillerato;Designación de coordinador/a digital en los centros;No;D4;Liderazgo y Política Institucional
BEfr;Bachillerato;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
BEfr;Bachillerato;Plan digital integrado en el plan de centro;No;D4;Liderazgo y Política Institucional
BEfr;Bachillerato;Criterios de educación digital en marcos de evaluación externa;No;D4;Liderazgo y Política Institucional
BEfr;Bachillerato;Asignatura separada obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEfr;Bachillerato;Otras (p. ej., optativa);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
BEfr;Bachillerato;Integrada en otras materias obligatorias;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEfr;Bachillerato;Transversal (cross-curricular);No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEfr;Bachillerato;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEfr;Bachillerato;Autonomía centro/local;Si;D4;Liderazgo y Política Institucional
BEfr;Bachillerato;Informática como asignatura separada y obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEfr;Bachillerato;Informática como asignatura separada, optativa;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
BEfr;Bachillerato;Autonomía del centro/autoridad local;No;D4;Liderazgo y Política Institucional
BEfr;Bachillerato;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEnl;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;Si;D4;Liderazgo y Política Institucional
BEnl;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
BEnl;ESO;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;No;D4;Liderazgo y Política Institucional
BEnl;ESO;Designación de coordinador/a digital en los centros;Si;D4;Liderazgo y Política Institucional
BEnl;ESO;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
BEnl;ESO;Plan digital integrado en el plan de centro;No;D4;Liderazgo y Política Institucional
BEnl;ESO;Criterios de educación digital en marcos de evaluación externa;Si;D4;Liderazgo y Política Institucional
BEnl;ESO;Asignatura separada obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEnl;ESO;Otras (p. ej., optativa);No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEnl;ESO;Integrada en otras materias obligatorias;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
