País;Nivel Educación;Ítem;Valor;Dimension_ISDE;Dimension_Nombre
HR;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;No;D4;Liderazgo y Política Institucional
HR;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
HR;ESO;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;Si;D4;Liderazgo y Política Institucional
HR;ESO;Designación de coordinador/a digital en los centros;No;D4;Liderazgo y Política Institucional
HR;ESO;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
HR;ESO;Plan digital integrado en el plan de centro;No;D4;Liderazgo y Política Institucional
HR;ESO;Criterios de educación digital en marcos de evaluación externa;No;D4;Liderazgo y Política Institucional
HR;ESO;Asignatura separada obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
HR;ESO;Otras (p. ej., optativa);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
HR;ESO;Integrada en otras materias obligatorias;No;D3;Pedagogía Digital / Uso Pedagógico TIC
HR;ESO;Transversal (cross-curricular);No;D3;Pedagogía Digital / Uso Pedagógico TIC
HR;ESO;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
HR;ESO;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
HR;ESO;Informática como asignatura separada y obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
HR;ESO;Informática como asignatura separada, optativa;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
HR;ESO;Autonomía del centro/autoridad local;No;D4;Liderazgo y Política Institucional
HR;ESO;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
HR;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;Si;D4;Liderazgo y Política Institucional
HR;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
HR;Bachillerato;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;No;D4;Liderazgo y Política Institucional
HR;Bachillerato;Designación de coordinador/a digital en los centros;No;D4;Liderazgo y Política Institucional
HR;Bachillerato;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
HR;Bachillerato;Plan digital integrado en el plan de centro;No;D4;Liderazgo y Política Institucional
HR;Bachillerato;Criterios de educación digital en marcos de evaluación externa;No;D4;Liderazgo y Política Institucional
HR;Bachillerato;Asignatura separada obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
HR;Bachillerato;Otras (p. ej., optativa);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
HR;Bachillerato;Integrada en otras materias obligatorias;No;D3;Pedagogía Digital / Uso Pedagógico TIC
HR;Bachillerato;Transversal (cross-curricular);No;D3;Pedagogía Digital / Uso Pedagógico TIC
HR;Bachillerato;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
HR;Bachillerato;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
HR;Bachillerato;Informática como asignatura separada y obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
HR;Bachillerato;Informática como asignatura separada, optativa;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
HR;Bachillerato;Autonomía del centro/autoridad local;No;D4;Liderazgo y Política Institucional
HR;Bachillerato;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
HU;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;Si;D4;Liderazgo y Política Institucional
HU;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
HU;ESO;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;No;D4;Liderazgo y Política Institucional
HU;ESO;Designación de coordinador/a digital en los centros;No;D4;Liderazgo y Política Institucional
HU;ESO;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
HU;ESO;Plan digital integrado en el plan de centro;No;D4;Liderazgo y Política Institucional
HU;ESO;Criterios de educación digital en marcos de evaluación externa;Si;D4;Liderazgo y Política Institucional
HU;ESO;Asignatura separada obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
HU;ESO;Otras (p. ej., optativa);No;D3;Pedagogía Digital / Uso Pedagógico TIC
HU;ESO;Integrada en otras materias obligatorias;No;D3;Pedagogía Digital / Uso Pedagógico TIC
HU;ESO;Transversal (cross-curricular);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
HU;ESO;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
HU;ESO;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
HU;ESO;Informática como asignatura separada y obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
HU;ESO;Informática como asignatura separada, optativa;No;D3;Pedagogía Digital / Uso Pedagógico TIC
HU;ESO;Autonomía del centro/autoridad local;No;D4;Liderazgo y Política Institucional
HU;ESO;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
HU;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;Si;D4;Liderazgo y Política Institucional
HU;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
HU;Bachillerato;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;No;D4;Liderazgo y Política Institucional
HU;Bachillerato;Designación de coordinador/a digital en los centros;No;D4;Liderazgo y Política Institucional
HU;Bachillerato;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
HU;Bachillerato;Plan digital integrado en el plan de centro;No;D4;Liderazgo y Política Institucional
HU;Bachillerato;Criterios de educación digital en marcos de evaluación externa;Si;D4;Liderazgo y Política Institucional
HU;Bachillerato;Asignatura separada obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
HU;Bachillerato;Otras (p. ej., optativa);No;D3;Pedagogía Digital / Uso Pedagógico TIC
HU;Bachillerato;Integrada en otras materias obligatorias;No;D3;Pedagogía Digital / Uso Pedagógico TIC
HU;Bachillerato;Transversal (cross-curricular);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
HU;Bachillerato;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
HU;Bachillerato;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
HU;Bachillerato;Informática como asignatura separada y obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
HU;Bachillerato;Informática como asignatura separada, optativa;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
HU;Bachillerato;Autonomía del centro/autoridad local;No;D4;Liderazgo y Política Institucional
HU;Bachillerato;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
IE;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;Si;D4;Liderazgo y Política Institucional
IE;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
IE;ESO;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;No;D4;Liderazgo y Política Institucional
IE;ESO;Designación de coordinador/a digital en los centros;No;D4;Liderazgo y Política Institucional
IE;ESO;Plan digital de centro como documento específico;Si;D4;Liderazgo y Política Institucional
IE;ESO;Plan digital integrado en el plan de centro;No;D4;Liderazgo y Política Institucional
IE;ESO;Criterios de educación digital en marcos de evaluación externa;Si;D4;Liderazgo y Política Institucional
IE;ESO;Asignatura separada obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
IE;ESO;Otras (p. ej., optativa);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
IE;ESO;Integrada en otras materias obligatorias;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
IE;ESO;Transversal (cross-curricular);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
IE;ESO;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
IE;ESO;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
IE;ESO;Informática como asignatura separada y obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
IE;ESO;Informática como asignatura separada, optativa;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
IE;ESO;Autonomía del centro/autoridad local;No;D4;Liderazgo y Política Institucional
IE;ESO;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
IE;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;Si;D4;Liderazgo y Política Institucional
IE;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
IE;Bachillerato;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;No;D4;Liderazgo y Política Institucional
IE;Bachillerato;Designación de coordinador/a digital en los centros;No;D4;Liderazgo y Política Institucional
IE;Bachillerato;Plan digital de centro como documento específico;Si;D4;Liderazgo y Política Institucional
IE;Bachillerato;Plan digital integrado en el plan de centro;No;D4;Liderazgo y Política Institucional
IE;Bachillerato;Criterios de educación digital en marcos de evaluación externa;Si;D4;Liderazgo y Política Institucional
IE;Bachillerato;Asignatura separada obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
IE;Bachillerato;Otras (p. ej., optativa);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
IE;Bachillerato;Integrada en otras materias obligatorias;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
IE;Bachillerato;Transversal (cross-curricular);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
IE;Bachillerato;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
IE;Bachillerato;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
IE;Bachillerato;Informática como asignatura separada y obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
IE;Bachillerato;Informática como asignatura separada, optativa;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
IE;Bachillerato;Autonomía del centro/autoridad local;No;D4;Liderazgo y Política Institucional
IE;Bachillerato;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
IS;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;No;D4;Liderazgo y Política Institucional
IS;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
IS;ESO;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;Si;D4;Liderazgo y Política Institucional
IS;ESO;Designación de coordinador/a digital en los centros;No;D4;Liderazgo y Política Institucional
IS;ESO;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
IS;ESO;Plan digital integrado en el plan de centro;No;D4;Liderazgo y Política Institucional
IS;ESO;Criterios de educación digital en marcos de evaluación externa;No;D4;Liderazgo y Política Institucional
IS;ESO;Asignatura separada obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
IS;ESO;Otras (p. ej., optativa);No;D3;Pedagogía Digital / Uso Pedagógico TIC
IS;ESO;Integrada en otras materias obligatorias;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
IS;ESO;Transversal (cross-curricular);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
IS;ESO;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
IS;ESO;Autonomía centro/local;Si;D4;Liderazgo y Política Institucional
IS;ESO;Informática como asignatura separada y obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
IS;ESO;Informática como asignatura separada, optativa;No;D3;Pedagogía Digital / Uso Pedagógico TIC
IS;ESO;Autonomía del centro/autoridad local;Si;D4;Liderazgo y Política Institucional
IS;ESO;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
IS;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;No;D4;Liderazgo y Política Institucional
IS;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
IS;Bachillerato;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;Si;D4;Liderazgo y Política Institucional
IS;Bachillerato;Designación de coordinador/a digital en los centros;No;D4;Liderazgo y Política Institucional
IS;Bachillerato;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
IS;Bachillerato;Plan digital integrado en el plan de centro;No;D4;Liderazgo y Política Institucional
IS;Bachillerato;Criterios de educación digital en marcos de evaluación externa;No;D4;Liderazgo y Política Institucional
IS;Bachillerato;Asignatura separada obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
IS;Bachillerato;Otras (p. ej., optativa);No;D3;Pedagogía Digital / Uso Pedagógico TIC
IS;Bachillerato;Integrada en otras materias obligatorias;No;D3;Pedagogía Digital / Uso Pedagógico TIC
IS;Bachillerato;Transversal (cross-curricular);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
IS;Bachillerato;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
IS;Bachillerato;Autonomía centro/local;Si;D4;Liderazgo y Política Institucional
IS;Bachillerato;Informática como asignatura separada y obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
IS;Bachillerato;Informática como asignatura separada, optativa;No;D3;Pedagogía Digital / Uso Pedagógico TIC
IS;Bachillerato;Autonomía del centro/autoridad local;Si;D4;Liderazgo y Política Institucional
IS;Bachillerato;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
IT;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;Si;D4;Liderazgo y Política Institucional
IT;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
IT;ESO;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;No;D4;Liderazgo y Política Institucional
IT;ESO;Designación de coordinador/a digital en los centros;Si;D4;Liderazgo y Política Institucional
IT;ESO;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
IT;ESO;Plan digital integrado en el plan de centro;Si;D4;Liderazgo y Política Institucional
IT;ESO;Criterios de educación digital en marcos de evaluación externa;No;D4;Liderazgo y Política Institucional
IT;ESO;Asignatura separada obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
IT;ESO;Otras (p. ej., optativa);No;D3;Pedagogía Digital / Uso Pedagógico TIC
IT;ESO;Integrada en otras materias obligatorias;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
IT;ESO;Transversal (cross-curricular);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
IT;ESO;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
IT;ESO;Autonomía centro/local;Si;D4;Liderazgo y Política Institucional
IT;ESO;Informática como asignatura separada y obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
IT;ESO;Informática como asignatura separada, optativa;No;D3;Pedagogía Digital / Uso Pedagógico TIC
IT;ESO;Autonomía del centro/autoridad local;Si;D4;Liderazgo y Política Institucional
IT;ESO;Informática no se imparte como asignatura separada;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
IT;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;Si;D4;Liderazgo y Política Institucional
IT;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
IT;Bachillerato;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;No;D4;Liderazgo y Política Institucional
IT;Bachillerato;Designación de coordinador/a digital en los centros;Si;D4;Liderazgo y Política Institucional
IT;Bachillerato;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
IT;Bachillerato;Plan digital integrado en el plan de centro;Si;D4;Liderazgo y Política Institucional
IT;Bachillerato;Criterios de educación digital en marcos de evaluación externa;No;D4;Liderazgo y Política Institucional
IT;Bachillerato;Asignatura separada obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
IT;Bachillerato;Otras (p. ej., optativa);No;D3;Pedagogía Digital / Uso Pedagógico TIC
IT;Bachillerato;Integrada en otras materias obligatorias;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
IT;Bachillerato;Transversal (cross-curricular);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
IT;Bachillerato;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
IT;Bachillerato;Autonomía centro/local;Si;D4;Liderazgo y Política Institucional
IT;Bachillerato;Informática como asignatura separada y obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
IT;Bachillerato;Informática como asignatura separada, optativa;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
IT;Bachillerato;Autonomía del centro/autoridad local;Si;D4;Liderazgo y Política Institucional
IT;Bachillerato;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
LI;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;No;D4;Liderazgo y Política Institucional
LI;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
LI;ESO;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;No;D4;Liderazgo y Política Institucional
LI;ESO;Designación de coordinador/a digital en los centros;No;D4;Liderazgo y Política Institucional
LI;ESO;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
LI;ESO;Plan digital integrado en el plan de centro;No;D4;Liderazgo y Política Institucional
LI;ESO;Criterios de educación digital en marcos de evaluación externa;Si;D4;Liderazgo y Política Institucional
LI;ESO;Asignatura separada obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
LI;ESO;Otras (p. ej., optativa);No;D3;Pedagogía Digital / Uso Pedagógico TIC
LI;ESO;Integrada en otras materias obligatorias;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
LI;ESO;Transversal (cross-curricular);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
LI;ESO;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
LI;ESO;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
LI;ESO;Informática como asignatura separada y obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
LI;ESO;Informática como asignatura separada, optativa;No;D3;Pedagogía Digital / Uso Pedagógico TIC
LI;ESO;Autonomía del centro/autoridad local;No;D4;Liderazgo y Política Institucional
LI;ESO;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
LI;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;No;D4;Liderazgo y Política Institucional
LI;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
LI;Bachillerato;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;No;D4;Liderazgo y Política Institucional
LI;Bachillerato;Designación de coordinador/a digital en los centros;No;D4;Liderazgo y Política Institucional
LI;Bachillerato;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
LI;Bachillerato;Plan digital integrado en el plan de centro;No;D4;Liderazgo y Política Institucional
LI;Bachillerato;Criterios de educación digital en marcos de evaluación externa;Si;D4;Liderazgo y Política Institucional
LI;Bachillerato;Asignatura separada obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
LI;Bachillerato;Otras (p. ej., optativa);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
LI;Bachillerato;Integrada en otras materias obligatorias;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
LI;Bachillerato;Transversal (cross-curricular);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
LI;Bachillerato;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
LI;Bachillerato;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
LI;Bachillerato;Informática como asignatura separada y obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
LI;Bachillerato;Informática como asignatura separada, optativa;No;D3;Pedagogía Digital / Uso Pedagógico TIC
LI;Bachillerato;Autonomía del centro/autoridad local;No;D4;Liderazgo y Política Institucional
LI;Bachillerato;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
LT;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;Si;D4;Liderazgo y Política Institucional
LT;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
LT;ESO;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;No;D4;Liderazgo y Política Institucional
LT;ESO;Designación de coordinador/a digital en los centros;No;D4;Liderazgo y Política Institucional
LT;ESO;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
LT;ESO;Plan digital integrado en el plan de centro;Si;D4;Liderazgo y Política Institucional
LT;ESO;Criterios de educación digital en marcos de evaluación externa;No;D4;Liderazgo y Política Institucional
LT;ESO;Asignatura separada obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
LT;ESO;Otras (p. ej., optativa);No;D3;Pedagogía Digital / Uso Pedagógico TIC
LT;ESO;Integrada en otras materias obligatorias;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
LT;ESO;Transversal (cross-curricular);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
LT;ESO;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
LT;ESO;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
LT;ESO;Informática como asignatura separada y obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
LT;ESO;Informática como asignatura separada, optativa;No;D3;Pedagogía Digital / Uso Pedagógico TIC
LT;ESO;Autonomía del centro/autoridad local;No;D4;Liderazgo y Política Institucional
LT;ESO;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
LT;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;Si;D4;Liderazgo y Política Institucional
LT;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
LT;Bachillerato;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;No;D4;Liderazgo y Política Institucional
LT;Bachillerato;Designación de coordinador/a digital en los centros;No;D4;Liderazgo y Política Institucional
LT;Bachillerato;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
LT;Bachillerato;Plan digital integrado en el plan de centro;Si;D4;Liderazgo y Política Institucional
LT;Bachillerato;Criterios de educación digital en marcos de evaluación externa;No;D4;Liderazgo y Política Institucional
LT;Bachillerato;Asignatura separada obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
LT;Bachillerato;Otras (p. ej., optativa);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
LT;Bachillerato;Integrada en otras materias obligatorias;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
LT;Bachillerato;Transversal (cross-curricular);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
LT;Bachillerato;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
LT;Bachillerato;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
LT;Bachillerato;Informática como asignatura separada y obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
LT;Bachillerato;Informática como asignatura separada, optativa;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
LT;Bachillerato;Autonomía del centro/autoridad local;No;D4;Liderazgo y Política Institucional
LT;Bachillerato;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
LU;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;No;D4;Liderazgo y Política Institucional
LU;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;Si;D4;Liderazgo y Política Institucional
LU;ESO;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;No;D4;Liderazgo y Política Institucional
LU;ESO;Designación de coordinador/a digital en los centros;Si;D4;Liderazgo y Política Institucional
LU;ESO;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
LU;ESO;Plan digital integrado en el plan de centro;Si;D4;Liderazgo y Política Institucional
LU;ESO;Criterios de educación digital en marcos de evaluación externa;No;D4;Liderazgo y Política Institucional
LU;ESO;Asignatura separada obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
LU;ESO;Otras (p. ej., optativa);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
LU;ESO;Integrada en otras materias obligatorias;No;D3;Pedagogía Digital / Uso Pedagógico TIC
LU;ESO;Transversal (cross-curricular);No;D3;Pedagogía Digital / Uso Pedagógico TIC
LU;ESO;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
LU;ESO;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
LU;ESO;Informática como asignatura separada y obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
LU;ESO;Informática como asignatura separada, optativa;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
LU;ESO;Autonomía del centro/autoridad local;No;D4;Liderazgo y Política Institucional
LU;ESO;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
LU;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;No;D4;Liderazgo y Política Institucional
LU;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;Si;D4;Liderazgo y Política Institucional
LU;Bachillerato;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;No;D4;Liderazgo y Política Institucional
LU;Bachillerato;Designación de coordinador/a digital en los centros;Si;D4;Liderazgo y Política Institucional
LU;Bachillerato;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
LU;Bachillerato;Plan digital integrado en el plan de centro;Si;D4;Liderazgo y Política Institucional
LU;Bachillerato;Criterios de educación digital en marcos de evaluación externa;No;D4;Liderazgo y Política Institucional
LU;Bachillerato;Asignatura separada obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
LU;Bachillerato;Otras (p. ej., optativa);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
LU;Bachillerato;Integrada en otras materias obligatorias;No;D3;Pedagogía Digital / Uso Pedagógico TIC
LU;Bachillerato;Transversal (cross-curricular);No;D3;Pedagogía Digital / Uso Pedagógico TIC
LU;Bachillerato;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
LU;Bachillerato;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
LU;Bachillerato;Informática como asignatura separada y obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
LU;Bachillerato;Informática como asignatura separada, optativa;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
LU;Bachillerato;Autonomía del centro/autoridad local;No;D4;Liderazgo y Política Institucional
LU;Bachillerato;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
LV;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;Si;D4;Liderazgo y Política Institucional
LV;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
LV;ESO;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;No;D4;Liderazgo y Política Institucional
