Pais;Pregunta;Respuesta;Valor;Porcentaje;Dimension_ISDE;Dimension_Nombre
ALB;Tareas que puedes hacer con recursos/herramientas digitales;Identificar recursos y herramientas digitales para apoyar el tema(s) que enseño;Nada;0,93;D2;Competencia Digital Docente
ALB;Temas incluidos en el desarrollo profesional;Análisis y utilización de las evaluaciones de los alumnos;;0,17;D2;Competencia Digital Docente
ALB;Temas incluidos en el desarrollo profesional;Análisis y utilización de las evaluaciones de los alumnos;No;14,15;D2;Competencia Digital Docente
ALB;Temas incluidos en el desarrollo profesional;Análisis y utilización de las evaluaciones de los alumnos;Sí;85,68;D2;Competencia Digital Docente
ALB;Temas incluidos en el desarrollo profesional;Competencias pedagógicas para incorporar recursos y herramientas digitales en la enseñanza;;0,15;D2;Competencia Digital Docente
ALB;Temas incluidos en el desarrollo profesional;Competencias pedagógicas para incorporar recursos y herramientas digitales en la enseñanza;No;12,63;D2;Competencia Digital Docente
ALB;Temas incluidos en el desarrollo profesional;Competencias pedagógicas para incorporar recursos y herramientas digitales en la enseñanza;Sí;87,22;D2;Competencia Digital Docente
ALB;Temas incluidos en el desarrollo profesional;Competencias técnicas para el uso de recursos y herramientas digitales;;0,17;D2;Competencia Digital Docente
ALB;Temas incluidos en el desarrollo profesional;Competencias técnicas para el uso de recursos y herramientas digitales;No;18,38;D2;Competencia Digital Docente
ALB;Temas incluidos en el desarrollo profesional;Competencias técnicas para el uso de recursos y herramientas digitales;Sí;81,44;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Actividades de aprendizaje por iniciativa propia;;1,15;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Actividades de aprendizaje por iniciativa propia;No;10,53;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Actividades de aprendizaje por iniciativa propia;Sí mixta;19,29;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Actividades de aprendizaje por iniciativa propia;Sí presencial;45,82;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Actividades de aprendizaje por iniciativa propia;Sí virtual online;23,22;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Coaching como parte de un acuerdo escolar formal;;1,29;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Coaching como parte de un acuerdo escolar formal;No;32,33;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Coaching como parte de un acuerdo escolar formal;Sí mixta;12,84;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Coaching como parte de un acuerdo escolar formal;Sí presencial;47,25;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Coaching como parte de un acuerdo escolar formal;Sí virtual online;6,3;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Conferencias educativas de los docentes u otros;;1,28;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Conferencias educativas de los docentes u otros;No;32,1;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Conferencias educativas de los docentes u otros;Sí mixta;18,91;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Conferencias educativas de los docentes u otros;Sí presencial;25,7;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Conferencias educativas de los docentes u otros;Sí virtual online;22,01;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Cursos/seminarios/talleres;;1,04;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Cursos/seminarios/talleres;No;5,08;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Cursos/seminarios/talleres;Sí mixta;36,32;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Cursos/seminarios/talleres;Sí presencial;40,39;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Cursos/seminarios/talleres;Sí virtual online;17,16;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Otro;;5,25;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Otro;No;48,25;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Otro;Sí mixta;12,64;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Otro;Sí presencial;23,22;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Otro;Sí virtual online;10,65;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Programa de cualificación formal;;1,43;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Programa de cualificación formal;No;66,82;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Programa de cualificación formal;Sí mixta;7,98;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Programa de cualificación formal;Sí presencial;12,66;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Programa de cualificación formal;Sí virtual online;11,11;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Redes formales o informales de profesores para la formación profesional;;1,36;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Redes formales o informales de profesores para la formación profesional;No;24,7;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Redes formales o informales de profesores para la formación profesional;Sí mixta;17,88;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Redes formales o informales de profesores para la formación profesional;Sí presencial;43,43;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Redes formales o informales de profesores para la formación profesional;Sí virtual online;12,62;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Reflexiones sobre las observaciones de la lección;;1,1;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Reflexiones sobre las observaciones de la lección;No;10,91;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Reflexiones sobre las observaciones de la lección;Sí mixta;12,45;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Reflexiones sobre las observaciones de la lección;Sí presencial;69,74;D2;Competencia Digital Docente
ARE;Actividades de desarrollo profesional;Reflexiones sobre las observaciones de la lección;Sí virtual online;5,8;D2;Competencia Digital Docente
